sg_uf;nm_municipio;ds_cargo;nr_candidato;nm_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_tot_turno;nm_regiao;qt_votos_nom_validos
GO;ABADIA DE GOIÁS;Vereador;11000;VANDERLEI ALVES DE CARVALHO;PP;PP;1;Eleito por QP;CENTRO-OESTE;591
GO;ABADIA DE GOIÁS;Vereador;11048;PAULO JOSÉ BENTO DE ALMEIDA PAIVA;PP;PP;1;Suplente;CENTRO-OESTE;59
GO;ABADIA DE GOIÁS;Vereador;11111;EUGÊNIO SILVA NETO;PP;PP;1;Eleito por QP;CENTRO-OESTE;528
GO;ABADIA DE GOIÁS;Vereador;11115;ELISÂNGELA PEREIRA DA SILVA;PP;PP;1;Suplente;CENTRO-OESTE;23
GO;ABADIA DE GOIÁS;Vereador;11123;MAGUINA LOPES DA SILVA BOMFIM;PP;PP;1;Suplente;CENTRO-OESTE;16
GO;ABADIA DE GOIÁS;Vereador;11125;JOSÉ CARLOS SOUSA SANTOS;PP;PP;1;Suplente;CENTRO-OESTE;87
GO;ABADIA DE GOIÁS;Vereador;11444;LEZIENNE CANDIDA CARDOSO CRUZ;PP;PP;1;Suplente;CENTRO-OESTE;177
GO;ABADIA DE GOIÁS;Vereador;11456;OZÉIAS DE PAULA SOARES;PP;PP;1;Suplente;CENTRO-OESTE;380
GO;ABADIA DE GOIÁS;Vereador;11555;ANTÔNIO MARIA RAMOS;PP;PP;1;Suplente;CENTRO-OESTE;60
GO;ABADIA DE GOIÁS;Vereador;11666;LUIZ ÂNGELO DE URZÊDA;PP;PP;1;Eleito por média;CENTRO-OESTE;456
GO;ABADIA DE GOIÁS;Vereador;11777;RODRIGO FERREIRA DOS SANTOS;PP;PP;1;Suplente;CENTRO-OESTE;73
GO;ABADIA DE GOIÁS;Vereador;11888;CLEONICE GOMES DE SOUZA CANEDO;PP;PP;1;Suplente;CENTRO-OESTE;141
GO;ABADIA DE GOIÁS;Vereador;15000;SINOVELINO PIRES MACEDO;MDB;MDB;1;Suplente;CENTRO-OESTE;175
GO;ABADIA DE GOIÁS;Vereador;15100;JOÃO PAULO DA COSTA BARROS;MDB;MDB;1;Suplente;CENTRO-OESTE;147
GO;ABADIA DE GOIÁS;Vereador;15123;DIVINO FURTADO DA SILVA;MDB;MDB;1;Suplente;CENTRO-OESTE;46
GO;ABADIA DE GOIÁS;Vereador;15190;EDSON DIVINO FERREIRA;MDB;MDB;1;Suplente;CENTRO-OESTE;99
GO;ABADIA DE GOIÁS;Vereador;15222;EZEQUIEL MATOS FERREIRA;MDB;MDB;1;Eleito por média;CENTRO-OESTE;320
GO;ABADIA DE GOIÁS;Vereador;15300;REINALDO DORNELAS DA SILVA;MDB;MDB;1;Suplente;CENTRO-OESTE;184
GO;ABADIA DE GOIÁS;Vereador;15322;JONEILDA RAPOSO COSTA BREVES DE ARAUJO;MDB;MDB;1;Suplente;CENTRO-OESTE;38
GO;ABADIA DE GOIÁS;Vereador;15456;MARCIVAL DIVINO DA SILVA RODRIGUES;MDB;MDB;1;Eleito por QP;CENTRO-OESTE;339
GO;ABADIA DE GOIÁS;Vereador;15555;MARIA NETA CARDOSO COUTINHO ALVES;MDB;MDB;1;Eleito por QP;CENTRO-OESTE;379
GO;ABADIA DE GOIÁS;Vereador;15678;DAIANE DOS SANTOS RIBEIRO;MDB;MDB;1;Suplente;CENTRO-OESTE;236
GO;ABADIA DE GOIÁS;Vereador;15777;JOÃO DE SOUSA BEDA;MDB;MDB;1;Suplente;CENTRO-OESTE;154
GO;ABADIA DE GOIÁS;Vereador;15888;MARIA ELISANGELA ANTUNES PEREIRA;MDB;MDB;1;Suplente;CENTRO-OESTE;115
GO;ABADIA DE GOIÁS;Vereador;23333;MARCELO JOSE FELIX DE OLIVIERA;CIDADANIA;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;4
GO;ABADIA DE GOIÁS;Vereador;23456;IRENE DE JESUS DAMACENO SOUSA;CIDADANIA;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;24
GO;ABADIA DE GOIÁS;Vereador;25000;EVANILCE SILVA PEREIRA;PRD;PRD;1;Suplente;CENTRO-OESTE;14
GO;ABADIA DE GOIÁS;Vereador;25033;FABIO AUGUSTO PACZKOUSKI;PRD;PRD;1;Suplente;CENTRO-OESTE;96
GO;ABADIA DE GOIÁS;Vereador;25100;NARCISO ELEUTERIO DUARTE;PRD;PRD;1;Suplente;CENTRO-OESTE;157
GO;ABADIA DE GOIÁS;Vereador;25111;ANTONIO EVALDO DOS SANTOS;PRD;PRD;1;Suplente;CENTRO-OESTE;118
GO;ABADIA DE GOIÁS;Vereador;25123;IRINEU CANDIDO DA SILVA;PRD;PRD;1;Suplente;CENTRO-OESTE;116
GO;ABADIA DE GOIÁS;Vereador;25222;EDWALDO LOURENCO JUNIOR;PRD;PRD;1;Eleito por QP;CENTRO-OESTE;422
GO;ABADIA DE GOIÁS;Vereador;25333;HELVIO QUEIROZ DOS SANTOS;PRD;PRD;1;Suplente;CENTRO-OESTE;27
GO;ABADIA DE GOIÁS;Vereador;25456;AGOSTINHO MANOEL DE MEDEIROS;PRD;PRD;1;Suplente;CENTRO-OESTE;44
GO;ABADIA DE GOIÁS;Vereador;25555;MIGUEL NASCIMENTO DA SILVA;PRD;PRD;1;Suplente;CENTRO-OESTE;360
GO;ABADIA DE GOIÁS;Vereador;25678;MARIA SULENE DE SOUZA NEVES;PRD;PRD;1;Suplente;CENTRO-OESTE;8
GO;ABADIA DE GOIÁS;Vereador;25777;VALDETH PINHEIRO DA SILVA;PRD;PRD;1;Suplente;CENTRO-OESTE;25
GO;ABADIA DE GOIÁS;Vereador;25888;ADRIANA LIS AQUINO COSTA PEREIRA;PRD;PRD;1;Suplente;CENTRO-OESTE;34
GO;ABADIA DE GOIÁS;Vereador;44000;GERALDO ROSA DA SILVA;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;251
GO;ABADIA DE GOIÁS;Vereador;44100;RENDERSON SAMUEL SILVA DE MORAES;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;22
GO;ABADIA DE GOIÁS;Vereador;44123;LAISE FRANCIELLY XAVIER RIBEIRO;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;299
GO;ABADIA DE GOIÁS;Vereador;44200;MARCOS ANTÔNIO FIDELES SOARES;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;42
GO;ABADIA DE GOIÁS;Vereador;44233;CLODOALDO ROSA DA SILVA;UNIÃO;UNIÃO;1;Eleito por média;CENTRO-OESTE;382
GO;ABADIA DE GOIÁS;Vereador;44400;ZILDETE BARROS LIMA DAS NEVES;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;36
GO;ABADIA DE GOIÁS;Vereador;44444;LUCIANA DE OLIVEIRA SILVA;UNIÃO;UNIÃO;1;Eleito por QP;CENTRO-OESTE;422
GO;ABADIA DE GOIÁS;Vereador;44555;CRISTIANO MENDONÇA CARNEIRO;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;267
GO;ABADIA DE GOIÁS;Vereador;44567;MARCOS MANCO INACIO DA CRUZ;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;73
GO;ABADIA DE GOIÁS;Vereador;44789;LUIZ ALBERTO TRAJANO DE SOUSA;UNIÃO;UNIÃO;1;Suplente;CENTRO-OESTE;246
GO;ABADIA DE GOIÁS;Vereador;45000;ROMARIO COSTA ALMEIDA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;336
GO;ABADIA DE GOIÁS;Vereador;45100;NATALIA COSTA DA SILVA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;19
GO;ABADIA DE GOIÁS;Vereador;45101;MANOEL MEDEIROS DE VASCONCELOS;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;16
GO;ABADIA DE GOIÁS;Vereador;45123;MARCO ANTÔNIO DIAS BRUNO;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;46
GO;ABADIA DE GOIÁS;Vereador;45190;ALEIDSON RODRIGUES DA SILVA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;205
GO;ABADIA DE GOIÁS;Vereador;45333;PEDRINA ROSA DIAS DA SILVA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;31
GO;ABADIA DE GOIÁS;Vereador;45678;RAFAEL AUGUSTO TAVARES DA COSTA;PSDB;Federação PSDB CIDADANIA (PSDB / CIDADANIA);1;Não eleito;CENTRO-OESTE;76
GO;ABADIA DE GOIÁS;Vereador;55000;IVEMARA LEITE AZEVEDO;PSD;PSD;1;Suplente;CENTRO-OESTE;309
GO;ABADIA DE GOIÁS;Vereador;55100;CINTHIA MARA DE ABREU GOMES;PSD;PSD;1;Suplente;CENTRO-OESTE;345
GO;ABADIA DE GOIÁS;Vereador;55101;MARCIO CLEITON PEREIRA DE NOVAIS;PSD;PSD;1;Suplente;CENTRO-OESTE;51
GO;ABADIA DE GOIÁS;Vereador;55123;ILDETE PEREIRA DA SILVA;PSD;PSD;1;Suplente;CENTRO-OESTE;53
GO;ABADIA DE GOIÁS;Vereador;55222;EMERSON BATISTA DA SILVA;PSD;PSD;1;Suplente;CENTRO-OESTE;60
GO;ABADIA DE GOIÁS;Vereador;55245;MARIA ELIZABETE DO NASCIMENTO;PSD;PSD;1;Suplente;CENTRO-OESTE;25
